product,service_type,service_category,cloud_provider
Service Fabric Mesh - Volume Disks,Service Fabric Mesh,Compute,Azure
Specialized Compute Azure VMware Solution,Specialized Compute,Compute,Azure
BareMetal Infrastructure,Specialized Compute,Compute,Azure
Azure Bare Metal,Specialized Compute,Compute,Azure
Azure VMware Solution,Specialized Compute,Compute,Azure
Azure VMware Solution by Virtustream,Specialized Compute,Compute,Azure
Ready Nodes for Nutanix,Specialized Compute,Compute,Azure
Azure VMware Solution by CloudSimple,Specialized Compute,Compute,Azure
Azure Container Apps,Azure Container Apps,Compute,Azure
Azure Kubernetes Service,Azure Kubernetes Service,Compute,Azure
Azure Hybrid Benefit - SQL Server Standard - Reporting Services,Virtual Machines Licenses,Compute,Azure
SLES Pre-Pay,Virtual Machines Licenses,Compute,Azure
Windows Server for Azure Stack HCI,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise - Reporting Services,Virtual Machines Licenses,Compute,Azure
Azure Red Hat OpenShift General Purpose,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - Power BI Report Server,Virtual Machines Licenses,Compute,Azure
Power BI Report Server,Virtual Machines Licenses,Compute,Azure
SQL Server Web Ubuntu Pro,Virtual Machines Licenses,Compute,Azure
Red Hat Enterprise Linux for SAP with HA,Virtual Machines Licenses,Compute,Azure
MSFT R Server for Linux,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - SQL Server Enterprise - Reporting Services,Virtual Machines Licenses,Compute,Azure
SQL Server Web SLES with HA,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - SQL Server Developer - Reporting Services,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - SQL Server Standard - Analysis Services,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise SLES,Virtual Machines Licenses,Compute,Azure
SQL Server Azure Hybrid Benefit,Virtual Machines Licenses,Compute,Azure
SQL Server Web,Virtual Machines Licenses,Compute,Azure
SQL Server Linux Enterprise,Virtual Machines Licenses,Compute,Azure
Autodesk Arnold,Virtual Machines Licenses,Compute,Azure
SQL Server Express Edition,Virtual Machines Licenses,Compute,Azure
SQL Server Azure Hybrid Benefit License,Virtual Machines Licenses,Compute,Azure
SUSE Linux Enterprise Server Standard,Virtual Machines Licenses,Compute,Azure
SQL Server Developer Edition,Virtual Machines Licenses,Compute,Azure
Ubuntu Pro,Virtual Machines Licenses,Compute,Azure
SUSE Linux Enterprise Server,Virtual Machines Licenses,Compute,Azure
V-Ray RT,Virtual Machines Licenses,Compute,Azure
RHEL Pre-Pay,Virtual Machines Licenses,Compute,Azure
SQL Server Web SLES,Virtual Machines Licenses,Compute,Azure
Java Development Environment,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise - Analysis Services,Virtual Machines Licenses,Compute,Azure
SUSE Linux Enterprise Server Basic,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - SQL Server Enterprise - Analysis Services,Virtual Machines Licenses,Compute,Azure
Canonical Ubuntu Linux Standard,Virtual Machines Licenses,Compute,Azure
Windows Server,Virtual Machines Licenses,Compute,Azure
SQL Server Perpetual License,Virtual Machines Licenses,Compute,Azure
SUSE for SAP Linux Enterprise Server,Virtual Machines Licenses,Compute,Azure
BizTalk Server Enterprise,Virtual Machines Licenses,Compute,Azure
SQL Server Standard Ubuntu Pro,Virtual Machines Licenses,Compute,Azure
Azure Red Hat OpenShift Memory Optimized,Virtual Machines Licenses,Compute,Azure
SQL Server Standard,Virtual Machines Licenses,Compute,Azure
BizTalk Server Standard,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise Ubuntu Pro,Virtual Machines Licenses,Compute,Azure
SQL Server Azure Disaster Recovery Benefit,Virtual Machines Licenses,Compute,Azure
V-Ray,Virtual Machines Licenses,Compute,Azure
Azure Red Hat OpenShift Pre-Pay,Virtual Machines Licenses,Compute,Azure
SQL Server Web Red Hat Enterprise Linux,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit - SQL Server Developer - Analysis Services,Virtual Machines Licenses,Compute,Azure
SQL Server Linux Standard,Virtual Machines Licenses,Compute,Azure
Canonical Ubuntu Linux Premium,Virtual Machines Licenses,Compute,Azure
Azure Red Hat OpenShift Compute Optimized,Virtual Machines Licenses,Compute,Azure
SQL Server Developer - Analysis Services,Virtual Machines Licenses,Compute,Azure
Red Hat Enterprise Linux with HA,Virtual Machines Licenses,Compute,Azure
SQL Server Linux Web,Virtual Machines Licenses,Compute,Azure
Ubuntu Advantage,Virtual Machines Licenses,Compute,Azure
SQL Server Developer Ubuntu Pro,Virtual Machines Licenses,Compute,Azure
Red Hat Enterprise Linux,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise SLES with HA,Virtual Machines Licenses,Compute,Azure
SUSE Linux Enterprise Server for HPC Standard,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise,Virtual Machines Licenses,Compute,Azure
SQL Server Standard SLES with HA,Virtual Machines Licenses,Compute,Azure
SQL Server Developer - Reporting Services,Virtual Machines Licenses,Compute,Azure
Azure Hybrid Benefit for SQL Server,Virtual Machines Licenses,Compute,Azure
SQL Server Standard - Reporting Services,Virtual Machines Licenses,Compute,Azure
SQL Server Developer SLES with HA,Virtual Machines Licenses,Compute,Azure
Autodesk 3DS Max,Virtual Machines Licenses,Compute,Azure
SQL Server Standard Red Hat Enterprise Linux,Virtual Machines Licenses,Compute,Azure
SQL Server Standard - Analysis Services,Virtual Machines Licenses,Compute,Azure
SQL Server Enterprise Red Hat Enterprise Linux,Virtual Machines Licenses,Compute,Azure
Autodesk Maya,Virtual Machines Licenses,Compute,Azure
SUSE Enterprise Linux Server for SQL with HA,Virtual Machines Licenses,Compute,Azure
RHEL for SAP Business Applications,Virtual Machines Licenses,Compute,Azure
SQL Server Standard SLES,Virtual Machines Licenses,Compute,Azure
Citrix,Virtual Machines Licenses,Compute,Azure
Citrix XenApp Essentials,Virtual Machines Licenses,Compute,Azure
Windows Server Burst,Virtual Machines Licenses,Compute,Azure
"SAP HANA, express edition",SAP,License,Google
Kong Konnect Enterprise 2.5 (BYOL),Kong,License,Google
Kong Enterprise 2.1 (BYOL),Kong,License,Google
OEMR OpenEMR Launchpad,OEMR,License,Google
"Tamr, Inc. Tamr",Tamr,License,Google
Perforce Software Inc. PHP 7.1 - Zend Server Developer Edition,Zend,License,Google
AXI AI Forecast ML,AXIAI,License,Google
AXI AI SAP EasyConnect,AXIAI,License,Google
AXI AI SAP EasyConnect Plus,AXIAI,License,Google
Buddy - Disposable Test Environments & Deployment Pipelines,Buddy,License,Google
H2O.ai Driverless AI (BYOL),H2Oai,License,Google
H2O.ai H2O-3 Cluster,H2Oai,License,Google
"NGINX, Inc NGINX Plus - Ubuntu 16.04",NGINX,License,Google
Neo4j Enterprise,Neo4j,License,Google
Neo4j Enterprise 4.1,Neo4j,License,Google
Plesk for Windows - Licensed - Website & WordPress Platform,Plesk,License,Google
Plesk for Windows - BYOL - Website & WordPress Platform,Plesk,License,Google
Plesk on Ubuntu - Licensed - Website & WordPress Platform,Plesk,License,Google
Plesk on CentOS - Licensed - Website & WordPress Platform,Plesk,License,Google
Plesk Business & Collaboration Edition PREMIUM,Plesk,License,Google
Plesk on Ubuntu - BYOL - Website & WordPress Platform,Plesk,License,Google
Plesk on CentOS - BYOL - Website & WordPress Platform,Plesk,License,Google
Plesk WordPress Edition PREMIUM,Plesk,License,Google
Qvera Interface Engine (QIE) 4.0,Qvera,License,Google
3CX Ltd. 3CX,3CXLtd,License,Google
Banyan Access Tier,Banyan,License,Google
Cameyo Inc Cameyo,Cameyo,License,Google
"Citrix Systems, Inc. Citrix ADC VPX - Customer Licensed",Citrix,License,Google
"Citrix Systems, Inc. Citrix SD-WAN Standard Edition",Citrix,License,Google
Dace IT d/b/a Sense Traffic Pulse Intelligent Video Analytics VM,DaceIT,License,Google
Dace IT d/b/a Sense Traffic Pulse Sense Traffic Pulse On-Demand Intelligent Video Analytics,DaceIT,License,Google
Enonic XP,Enonic,License,Google
Exasol Analytics Database PAYG,Exasol,License,Google
Exasol Analytics Database BYOL,Exasol,License,Google
GitLab Community Edition,GitLab,License,Google
GitLab Enterprise Edition,GitLab,License,Google
Gluent Data Platform Bring Your Own License,Gluent,License,Google
Google Quickstart Simple pre-configured Debian VM,Google,License,Google
LABS.AI E.D.D.I - Open Source Chatbot Platform,LABSAI,License,Google
NKN.org NKN Full Node,NKNorg,License,Google
NVIDIA PyTorch from NVIDIA,NVIDIA,License,Google
NVIDIA Image for AI using GPUs - Optimized for TensorFlow,NVIDIA,License,Google
